name,version,license,checksum_sha256,repository
parking_lot,0.12.5,MIT OR Apache-2.0,93857453250e3077bd71ff98b6a65ea6621a19bb0f559a85248955ac12c45a1a,https://github.com/Amanieu/parking_lot
parking_lot_core,0.9.12,MIT OR Apache-2.0,2621685985a2ebf1c516881c026032ac7deafcda1a2c9b7850dc81e3dfcb64c1,https://github.com/Amanieu/parking_lot
peniko,0.6.1,Apache-2.0 OR MIT,839c8299360d2e998bdb106dc0a6cd71dcc5f4df51df1b620361bf50e283cca6,https://github.com/linebender/peniko
pin-project-lite,0.2.17,Apache-2.0 OR MIT,a89322df9ebe1c1578d689c92318e070967d1042b512afbe49518723f4e6d5cd,https://github.com/taiki-e/pin-project-lite
pkg-config,0.3.34,MIT OR Apache-2.0,f6b464fbc74e149a392436b17d523f769e057cb6877f6a5c4618bc6f11800548,https://github.com/rust-lang/pkg-config-rs
png,0.18.1,MIT OR Apache-2.0,60769b8b31b2a9f263dae2776c37b1b28ae246943cf719eb6946a1db05128a61,https://github.com/image-rs/image-png
pollster,1.0.1,Apache-2.0/MIT,bc6355899e1c9462875b6757c79f3caa011a1fdae12bbb1a2e72dd1f234f8336,https://github.com/zesterer/pollster
polycool,0.4.0,MIT OR Apache-2.0,50596ddc09eb5ad5f75cacd40209568e66df71baf86e1499a0e99c4cff12a5a6,https://github.com/linebender/kurbo
presser,0.3.1,MIT OR Apache-2.0,e8cf8e6a8aa66ce33f63993ffc4ea4271eb5b0530a9002db8455ea6050c77bfa,https://github.com/EmbarkStudios/presser
proc-macro2,1.0.107,MIT OR Apache-2.0,985e7ec9bb745e6ce6535b544d84d6cd6f7ad8bd711c398938ae983b91a766d9,https://github.com/dtolnay/proc-macro2
profiling,1.0.18,MIT OR Apache-2.0,3d595e54a326bc53c1c197b32d295e14b169e3cfeaa8dc82b529f947fba6bcf5,https://github.com/aclysma/profiling
pxfm,0.1.30,BSD-3-Clause OR Apache-2.0,d55d956fa96f5ec02be2e13af0e20391a5aa83d6a074e3ad368959d0fab299ea,https://github.com/awxkee/pxfm
quick-error,2.0.1,MIT/Apache-2.0,a993555f31e5a609f617c12db6250dedcac1b0a85076912c436e6fc9b2c8e6a3,http://github.com/tailhook/quick-error
quote,1.0.47,MIT OR Apache-2.0,1fbf4db142a473a8d80c26bbf18454ed458bf8d26c8219c331daecfdbd079001,https://github.com/dtolnay/quote
raw-window-handle,0.6.2,MIT OR Apache-2.0 OR Zlib,20675572f6f24e9e76ef639bc5552774ed45f1c30e2951e1e99c59888861c539,https://github.com/rust-windowing/raw-window-handle
raw-window-metal,1.1.0,MIT OR Apache-2.0,40d213455a5f1dc59214213c7330e074ddf8114c9a42411eb890c767357ce135,https://github.com/rust-windowing/raw-window-metal
read-fonts,0.41.0,MIT OR Apache-2.0,046a7d674daf459825b32f5062056d6882db0d2f5a479fbd76ccfc870ac18709,https://github.com/googlefonts/fontations
renderdoc-sys,1.1.0,MIT OR Apache-2.0,19b30a45b0cd0bcca8037f3d0dc3421eaf95327a17cad11964fb8179b4fc4832,https://github.com/ebkalderon/renderdoc-rs
rfd,0.17.2,MIT,20dafead71c16a34e1ff357ddefc8afc11e7d51d6d2b9fbd07eaa48e3e540220,https://github.com/PolyMeilex/rfd
rusqlite,0.40.2,MIT,23f2a97da3e3873c73cb2a2e71b35c40ff95e0b1eefa8d72d8499a6928c3b5b3,https://github.com/rusqlite/rusqlite
